WKT;name
"LINESTRING (351536.603758423 6178247.6812971,351571.010272335 6178387.92847336,351572.684410371 6178393.46857642,351583.549156938 6178429.40685522,351590.443236245 6178446.112565)";
"LINESTRING (352222.83719759 6178265.17395695,352215.512955627 6178264.45823089,352205.976834489 6178263.11931759,352125.222043695 6178276.26439282,352110.887539062 6178275.86945079,352095.608455568 6178271.37714239,352081.721987976 6178264.18919334,352034.168912847 6178228.78676821,352023.838856592 6178223.69660328,352009.546344897 6178221.24993529,351991.972889726 6178221.31341058,351927.932268069 6178234.73456228,351887.432515734 6178238.32551113,351811.785245184 6178252.41469925,351797.350468433 6178258.29640592,351779.74683566 6178270.58368111,351768.804082396 6178283.1548676,351750.872091834 6178307.93885503,351731.550346584 6178334.65299577,351704.567475844 6178371.94953713,351665.604182978 6178425.81622433,351643.614102494 6178436.21383375,351590.443236245 6178446.112565,351265.434056646 6178508.05400296)";
"LINESTRING (351448.679244441 6179195.29574764,351479.629302382 6179233.30835965,351509.29641077 6179256.8348214,351538.835146315 6179274.04711058,351568.566486537 6179279.22629053,351652.930598808 6179268.93878989,351729.99153173 6179246.78617011,351846.100667706 6179202.93709845,351864.22710919 6179195.96050731,351884.591901879 6179182.20841867,351967.858788869 6179123.77851776,352102.247314786 6179038.96260753,352120.897745882 6179021.54415175,352127.049465697 6179010.02768397,352134.334213809 6178994.24731799,352135.759975187 6178979.68255929,352128.200894641 6178963.7099779,352074.125174516 6178857.46301147,352061.792932648 6178864.45472273,352022.965135011 6178907.54248577,351999.661240701 6178892.62762449,351924.181156307 6178844.15523142,351908.570114942 6178826.46759694,351902.429453561 6178813.12433753,351916.291408551 6178754.59624927,351935.007062767 6178683.61034516,351935.31787466 6178637.10168577,351927.405461037 6178595.56461767,351907.268866324 6178567.49916428,351864.253206931 6178549.73994432,351849.714298944 6178515.55156757)";
"LINESTRING (352228.367571565 6178154.89631283,352222.721305437 6178145.6766883,352211.238681309 6178138.0169425,352200.675740031 6178137.17194028,351681.077367672 6178223.53544701,351609.017815905 6178235.4395399)";
"LINESTRING (351214.215573356 6178293.72164365,351205.338676105 6178322.83203894,351223.301466347 6178414.13994441,351265.434056646 6178508.05400296,351448.679244441 6179195.29574764,351459.462845487 6179234.05047184,351499.922011264 6179345.72970327,351526.251542763 6179363.82248127,351563.782300789 6179364.7668457,352123.86397949 6179230.05373415,352185.551648464 6179192.97615421,352217.265160691 6179173.43604956,352246.850247473 6179158.96478874,352295.710570961 6179146.06493414,352384.260784524 6179122.98059834,352389.909492618 6179114.20706304,352387.910924182 6179103.62570345,352380.337070896 6179097.78114607,352351.338437912 6179099.66035325,352307.505135607 6179105.95135331,352295.164146847 6179101.94994727,352286.652108742 6179092.75134173,352285.246270059 6179082.43453262,352285.02056706 6179063.16216843,352289.476755785 6179042.78847354,352295.507899494 6179025.56811448,352312.879902483 6178983.45781328,352319.539601891 6178949.24167536,352320.625649255 6178903.51088426,352320.447560105 6178886.43571732,352325.977036771 6178888.03240325,352337.806708087 6178898.75917588,352342.321002077 6178906.45200878,352348.15340931 6178906.32297366,352350.662881698 6178897.48840778,352349.670955111 6178879.04692933,352339.748113207 6178849.4700095,352334.951595223 6178825.47686794,352335.235982569 6178809.34088511,352339.309446836 6178799.73251065,352353.674388338 6178784.41966726,352388.780451973 6178747.17294153,352279.237967723 6178435.1319187,352276.822930755 6178428.23789494,352264.755393397 6178393.86772304,352232.50325719 6178253.74670781,352230.768602277 6178246.22010286,352229.354180667 6178192.66202513,352229.166313072 6178185.43739078,352228.367571565 6178154.89631283,352232.90429021 6178142.71066046,352241.981562911 6178130.77483378,352258.541768015 6178109.00764469,352261.19510834 6178093.44184776,352260.016085276 6178075.81823635,352202.564516153 6177832.57288221,352202.069203898 6177818.14388202,352203.596656574 6177802.94841095,352206.910074792 6177791.4754241,352213.822196875 6177781.73485294,352355.848725348 6177631.59938201,352363.893200565 6177619.3364071,352366.436460786 6177609.51508447,352366.641804472 6177596.61701681,352363.45464178 6177582.3004798,352323.176149595 6177486.87919015,352300.263584696 6177425.70156129,352237.289259133 6177301.15367936,352074.35282862 6176978.88356581,352067.076368822 6176966.03249205,352064.764908872 6176953.26063678,351949.708913108 6177084.14292751,351918.868558099 6177088.4870407,351899.614621332 6177084.69624447,351854.518276551 6177075.80010013,351345.357245974 6176831.20947361,351321.431388974 6176822.84976644,351301.884947498 6176818.45396375,351289.27316852 6176817.24218453,351160.458047239 6176827.91002,350841.520606382 6176854.04488382,350822.783250152 6176863.83826493,350812.623424383 6176880.24810589,350812.283448146 6176901.37529092,350824.798216027 6176945.70564205,351096.386782061 6177907.6060455,351200.268068372 6178275.49362098,351204.915589148 6178283.38889125,351214.215573356 6178293.72164365)";
"LINESTRING (351609.017815905 6178235.4395399,351536.603758423 6178247.6812971,351308.110172897 6178286.89633457,351271.650443506 6178293.28940687,351241.920474525 6178299.67934052,351225.150007438 6178297.74637977,351214.215573356 6178293.72164365)";
"LINESTRING (351800.232288727 6178458.90702644,351836.223923885 6178325.48758491,351840.939117972 6178307.91366708,351836.191499298 6178297.05526702,351824.549454681 6178285.58753336,351810.825538929 6178281.45238969,351791.088813299 6178283.58863152,351750.872091834 6178307.93885503)";
"LINESTRING (352074.125174516 6178857.46301147,352094.79031382 6178834.5967288,352105.204812194 6178803.33587698,352072.110873975 6178770.73793063,352044.779869218 6178751.0110798,351953.856540223 6178684.76535976,351935.007062767 6178683.61034516,351925.968172979 6178685.60704903,351835.578717392 6178653.85726678,351781.374278703 6178611.15900721)";
"LINESTRING (351781.374278703 6178611.15900721,351797.029127079 6178597.33189783,351849.714298944 6178515.55156757,351864.533342207 6178486.77960337,351905.692342569 6178431.03916309,351915.442668312 6178418.97016079,351929.27593856 6178407.64301059,351946.841725292 6178397.72878451,351963.292714766 6178393.23238501,352083.605205429 6178360.84062655,352178.116855153 6178319.87163964,352194.977351065 6178310.97738701,352209.202370085 6178296.92717046,352222.83719759 6178265.17395695,352227.396315248 6178257.3482711,352232.50325719 6178253.74670781)";
"LINESTRING (351748.578176808 6178847.29661662,351756.289016338 6178903.14081374,351760.241660003 6178931.01454061,351770.68434953 6178958.98086684,351795.771637296 6178996.74343612,351780.584252619 6179017.47798403,351775.231940128 6179043.87185414,351773.096917443 6179063.13984718,351765.942972909 6179070.69092427,351743.170429704 6179077.68181935,351701.83887185 6179075.05776808,351674.24005272 6179070.34571116,351659.713080205 6179060.66207332,351651.639285393 6179041.89645323,351637.165489498 6178992.14509041,351611.793886308 6178884.36848597,351588.617868516 6178793.77694408,351579.832189213 6178708.77356284)";
"LINESTRING (351800.232288727 6178458.90702644,351779.315833591 6178543.46886808,351774.048092392 6178595.03450006,351781.374278703 6178611.15900721)";
"LINESTRING (351154.458787631 6177518.99973002,351172.810944217 6177572.73035743,351256.354974887 6178013.32886264,351263.396859575 6178065.41349017,351272.216805218 6178153.19128255)";
"LINESTRING (351718.752412109 6177247.13849205,351580.530366247 6177239.54677553,351454.534864625 6177232.61479172,351426.507378753 6177233.80752214,351421.023132603 6177234.04134516,351405.902685069 6177255.86344337,351378.623470168 6177298.56775016,351373.524329662 6177315.43645202,351377.894136799 6177558.85834064,351385.428935544 6177573.32262298,351337.984746107 6177591.06562238,351304.235876239 6177607.1976216,351286.088168044 6177602.49150508,351269.010330255 6177592.89930923,351154.458787631 6177518.99973002,351079.099543512 6177366.79980284,351044.324663006 6177262.80789659,351013.040812945 6177156.42029531,350973.309223426 6177054.7888738,350863.234399539 6176917.72560177,350842.148818521 6176911.99506739,350830.100877048 6176926.51088306,350824.798216027 6176945.70564205)";
"LINESTRING (351859.33355427 6177848.93894393,351745.771717339 6177860.82431193,351669.386456238 6177860.95626916,351647.675550589 6177862.01782903,351618.472135593 6177871.17951897,351524.605568755 6177908.08185813,351473.673900039 6177912.48012598,351438.720678788 6177908.60341377,351360.57453439 6177871.35381257,351351.319616197 6177855.36437284,351332.464815463 6177811.12193203,351332.943826526 6177764.06111647,351330.998759254 6177719.8900444,351370.250504133 6177614.19079899,351385.428935544 6177573.32262298,351396.875090267 6177542.50053144,351486.713616504 6177437.06783364,351511.980192819 6177396.78259209,351550.946728045 6177362.59603208,351588.300495669 6177336.23749562,351610.01484579 6177302.7618514,351656.288908865 6177273.1069214,351718.752412109 6177247.13849205,351808.85000779 6177248.57891705,351853.899248609 6177264.4964775,351884.983499872 6177291.4725141,351901.538401671 6177334.37915375,351921.348393799 6177419.50292472,351963.169760418 6177545.66782842,351992.879426988 6177566.24290922)";
"LINESTRING (351609.017815905 6178235.4395399,351609.590347589 6178221.46019094,351677.702280307 6178150.97642713,351697.028730043 6178113.04726861)";
"LINESTRING (350317.859210713 6178179.37174611,350331.907389866 6178165.07736517,350344.682325298 6178150.03026511,350368.790973538 6178037.40107147,350383.73657201 6178017.54119054,350528.90911673 6177962.0306488,350542.051829695 6177961.15531694,350568.162757835 6177961.68699647,350608.806580753 6177983.3302087,350656.118803442 6177991.67997111,350673.333818935 6177988.7734028,350717.372396007 6177991.17962688,350868.445759335 6177983.03824617,350982.458407214 6177915.30522137,351003.259220541 6177910.33686256,351022.543308986 6177913.48652301,351040.412979581 6177908.67067476)";
"LINESTRING (352067.076368822 6176966.03249205,352016.506167854 6177166.1118959,351978.885764869 6177301.30302035,351997.637485843 6177391.80099223,352008.847033858 6177429.72998832,352006.546659502 6177450.77031048,351983.202097947 6177524.91057297,351992.879426988 6177566.24290922,351995.091668091 6177612.84736771,351975.140019338 6177659.59725186,351899.924272238 6177774.58627613,351859.33355427 6177848.93894393,351826.518924936 6177961.17688107,351810.172323391 6177997.67849682,351697.028730043 6178113.04726861,351662.021008296 6178145.82245412,351591.597743545 6178176.56660291,351533.859294588 6178183.97354049,351436.98468054 6178204.97482068,351381.415665882 6178200.15758649,351285.475625613 6178162.83311119,351272.216805218 6178153.19128255,351252.369218029 6178138.7735259,351230.715305141 6178107.04352647,351204.896606378 6178028.18923793,351201.989301331 6178019.98908149,351194.057893548 6177997.61993122,351131.242981079 6177922.0987087,351096.386782061 6177907.6060455,351064.347029834 6177918.97241091,351040.412979581 6177908.67067476,350952.257803765 6177598.59617164,350627.716431421 6177689.95202625)";
"LINESTRING (351723.475862174 6178158.60827529,351877.155334988 6178125.29946137,351948.942374744 6178100.47654653,351958.884779793 6178094.75587098,352004.065254841 6178040.58793588,352023.594891699 6178020.32173157,352036.223645309 6178000.43349509,352062.874836257 6177996.44356992,352077.588115808 6178000.11713216,352123.467617209 6178025.83057126,352162.452740489 6178050.95686979,352187.424479204 6178056.72397546)";
"LINESTRING (351341.897048339 6178113.30789423,351397.424672358 6178150.47250402,351429.836800631 6178185.80221251,351436.98468054 6178204.97482068,351450.932037436 6178220.93945747,351464.575862759 6178229.48895509,351491.557528886 6178235.31230203)";
"LINESTRING (351341.897048339 6178113.30789423,351370.222917839 6178097.09987238,351379.205878159 6178089.40092758,351387.347995317 6178072.86940535,351392.164772982 6178048.43060768,351389.298678777 6178019.88624384,351356.457753707 6177928.87267114,351354.329945428 6177900.67291315,351360.57453439 6177871.35381257)";
"LINESTRING (351341.897048339 6178113.30789423,351283.322649852 6178082.96077074,351263.396859575 6178065.41349017,351224.605105509 6178023.21394611)";
"LINESTRING (351731.550346584 6178334.65299577,351706.616223545 6178289.17170747,351691.90147709 6178255.1355138,351681.077367672 6178223.53544701)";
"LINESTRING (351307.531791391 6178476.46988914,351296.416892938 6178401.78976712,351299.018353034 6178393.001283,351323.768797659 6178354.18356512,351308.110172897 6178286.89633457)";
"LINESTRING (351337.984746107 6177591.06562238,351370.250504133 6177614.19079899)";
"LINESTRING (351795.771637296 6178996.74343612,351897.989897824 6178996.90037207,351938.687318729 6178992.63568958,351958.404546765 6178988.93461758,351968.246002386 6178983.26774793,351974.848195311 6178976.90578258,352013.417057736 6178921.87783922,352022.965135011 6178907.54248577)";
"LINESTRING (351265.434056646 6178508.05400296,351291.547897899 6178526.82083793,351327.241019878 6178550.55557807,351388.998384063 6178591.60270782,351475.239896334 6178648.33895177,351531.331233526 6178682.07268229,351579.832189213 6178708.77356284,351647.052679059 6178744.20436975,351686.474046753 6178773.75461165,351748.578176808 6178847.29661662,351765.945332004 6178854.47408463,351788.839893796 6178855.3279767,351806.592585146 6178853.89213697,351833.898595338 6178840.10685188,351852.319074024 6178827.8990384,351890.732956067 6178813.07072485,351902.429453561 6178813.12433753)";
"LINESTRING (350863.259568945 6178781.27905827,350930.710670715 6179026.81326892)";
"LINESTRING (351064.347029834 6177918.97241091,351038.276817068 6177941.63871193,351025.606868073 6177957.09883631,351016.236938004 6177973.44394943,351006.646136411 6178002.96425957,350973.82786401 6178189.60190601,350961.983395818 6178205.08631634,350940.419630243 6178207.21358023,350925.539998363 6178205.32154723,350914.1990258 6178189.47562237,350909.409765937 6178177.85058725,350883.878707855 6178169.19788318,350602.123137066 6178228.97129857,350576.197795309 6178244.22843488,350572.631989218 6178259.83465571,350574.734406316 6178283.77447536,350582.883600535 6178343.27681139,350585.639422935 6178377.95431703,350580.918276171 6178465.28194325,350582.418538956 6178680.51500917,350591.629383048 6178726.01252627,350614.550513818 6178742.87730402,350640.878463549 6178754.01729615,350777.884283258 6178745.59480518,350879.656252033 6178743.11572161)";
"LINESTRING (350879.656252033 6178743.11572161,350902.259965822 6178726.06268422,350940.472877446 6178719.25541084,351047.909185666 6178683.05340324,351103.99262672 6178646.84696916,351123.542115634 6178615.82242157,351133.989668543 6178583.84196957,351145.603467096 6178531.24685363,351146.774351908 6178251.74998849,351064.347029834 6177918.97241091)";
"LINESTRING (350879.656252033 6178743.11572161,350886.182351018 6178767.80320137)";
"LINESTRING (350886.182351018 6178767.80320137,350863.259568945 6178781.27905827,350554.437714803 6178875.72685351,350520.975161137 6178873.71234578,350496.751089499 6178848.80593675,350427.378453048 6178594.55086847,350368.845981698 6178380.00624253,350317.859210713 6178179.37174611,350217.194032761 6177829.42893261,350224.371933777 6177811.89545656,350248.211880819 6177799.53427427,350470.768921251 6177735.27901022,350627.716431421 6177689.95202625)";
"LINESTRING (351327.241019878 6178550.55557807,351403.910308669 6178671.1911967,351409.775213149 6178690.809158,351403.353513861 6178767.28258863,351412.826064583 6178790.96296968,351445.605509675 6178835.61663308,351450.983159354 6178869.04886029,351443.226220629 6178922.84862357,351469.325605993 6179015.45086014,351509.29641077 6179256.8348214)";
"LINESTRING (351572.684410371 6178393.46857642,351669.885221506 6178376.85282695,351704.567475844 6178371.94953713)";
"LINESTRING (351201.989301331 6178019.98908149,351224.605105509 6178023.21394611,351240.942548047 6178020.0592966,351256.354974887 6178013.32886264,351261.009158484 6177999.04888936,351274.729676333 6177891.72023431,351295.348001917 6177835.70843642,351305.965140343 6177815.40060381,351316.390913649 6177807.02598855,351332.464815463 6177811.12193203)";
