Nombre;Provincia;Longitud;Latitud;Altura [m];NRO;NACI
BASE BELGRANO II;ANTARTIDA;-34.56667;-77.86667;256.0;89034;SAYB
BASE CARLINI (EX JUBANY);ANTARTIDA;-58.63333;-62.23333;11.0;89053;SAYJ
BASE ESPERANZA;ANTARTIDA;-56.98333;-63.40000;24.0;88963;SAYE
BASE MARAMBIO;ANTARTIDA;-56.71667;-64.23333;198.0;89055;SAWB
BASE ORCADAS;ANTARTIDA;-44.71667;-60.75000;12.0;88968;SAYO
BASE SAN MARTIN;ANTARTIDA;-67.13333;-68.13333;7.0;89066;SAYS
AZUL AERO;BUENOS AIRES;-59.88333;-36.83333;147.0;87641;SAZA
BAHIA BLANCA AERO;BUENOS AIRES;-62.16667;-38.73333;83.0;87750;SAZB
BENITO JUAREZ AERO;BUENOS AIRES;-59.78333;-37.71667;207.0;87649;SAZJ
BOLIVAR AERO;BUENOS AIRES;-61.06667;-36.20000;94.0;87640;SAZI
CORONEL PRINGLES AERO;BUENOS AIRES;-61.33333;-38.01667;247.0;87683;SABP
CORONEL SUAREZ AERO;BUENOS AIRES;-61.88333;-37.43333;233.0;87637;SAZC
DOLORES AERO;BUENOS AIRES;-57.73333;-36.35000;9.0;87648;SAZD
EL PALOMAR AERO;BUENOS AIRES;-58.60000;-34.60000;12.0;87571;SADP
EZEIZA AERO;BUENOS AIRES;-58.53333;-34.81667;20.0;87576;SAEZ
JUNIN AERO;BUENOS AIRES;-60.91667;-34.55000;81.0;87548;SAAJ
LA PLATA AERO;BUENOS AIRES;-57.90000;-34.96667;23.0;87593;SADL
LAS FLORES AERO;BUENOS AIRES;-59.13333;-36.03333;36.0;87563;SAEL
MAR DEL PLATA AERO;BUENOS AIRES;-57.58333;-37.93333;21.0;87692;SAZM
MARIANO MORENO AERO;BUENOS AIRES;-58.81667;-34.55000;32.0;87572;SADJ
MERLO AERO;BUENOS AIRES;-58.73333;-34.68333;36.0;87573;SADR
MORON AERO;BUENOS AIRES;-58.63333;-34.66667;24.0;87574;SADM
NUEVE DE JULIO;BUENOS AIRES;-60.88333;-35.45000;76.0;87550;SAZX
OLAVARRIA AERO;BUENOS AIRES;-60.21667;-36.88333;166.0;87643;SAZF
PEHUAJO AERO;BUENOS AIRES;-61.90000;-35.86667;87.0;87544;SAZP
PIGUE AERO;BUENOS AIRES;-62.38333;-37.60000;304.0;87679;SAZE
PUNTA INDIO B.A.;BUENOS AIRES;-57.28333;-35.36667;22.0;87596;SAAI
SAN FERNANDO;BUENOS AIRES;-58.58333;-34.45000;3.0;87553;SADF
SAN MIGUEL;BUENOS AIRES;-58.73333;-34.55000;26.0;87569;SADI
SANTA TERESITA AERO;BUENOS AIRES;-56.68333;-36.55000;4.0;87658;SAZL
TANDIL AERO;BUENOS AIRES;-59.25000;-37.23333;175.0;87645;SAZT
TRENQUE LAUQUEN;BUENOS AIRES;-62.73333;-35.96667;95.0;87540;SAET
TRES ARROYOS;BUENOS AIRES;-60.25000;-38.33333;115.0;87688;SAZH
VILLA GESELL AERO;BUENOS AIRES;-57.01667;-37.23333;9.0;87663;SAZV
AEROPARQUE AERO;CAPITAL FEDERAL;-58.41667;-34.56667;6.0;87582;SABE
BUENOS AIRES;CAPITAL FEDERAL;-58.48333;-34.58333;25.0;87585;SABA
CATAMARCA AERO;CATAMARCA;-65.76667;-28.60000;454.0;87222;SANC
TINOGASTA;CATAMARCA;-67.56667;-28.06667;1201.0;87211;SANI
PCIA. ROQUE SAENZ PEÃ‘A AERO;CHACO;-60.40000;-26.75000;93.0;87148;SARS
RESISTENCIA AERO;CHACO;-59.05000;-27.45000;52.0;87155;SARE
COMODORO RIVADAVIA AERO;CHUBUT;-67.50000;-45.78333;46.0;87860;SAVC
ESQUEL AERO;CHUBUT;-71.15000;-42.93333;797.0;87803;SAVE
PASO DE INDIOS;CHUBUT;-68.88333;-43.81667;460.0;87814;SAVP
PUERTO MADRYN AERO;CHUBUT;-65.06667;-42.73333;136.0;87823;SAVY
TRELEW AERO;CHUBUT;-65.26667;-43.20000;43.0;87828;SAVT
CORDOBA AERO;CORDOBA;-64.20000;-31.30000;495.0;87344;SACO
CORDOBA OBSERVATORIO;CORDOBA;-64.18333;-31.40000;425.0;87345;SACK
ESC.AVIACION MILITAR AERO;CORDOBA;-64.26667;-31.45000;502.0;87347;SACE
LABOULAYE AERO;CORDOBA;-63.36667;-34.13333;137.0;87534;SAOL
MARCOS JUAREZ AERO;CORDOBA;-62.15000;-32.70000;114.0;87467;SAOM
PILAR OBS.;CORDOBA;-63.88333;-31.66667;338.0;87349;SACI
RIO CUARTO AERO;CORDOBA;-64.23333;-33.11667;421.0;87453;SAOC
VILLA DOLORES AERO;CORDOBA;-65.13333;-31.95000;566.0;87328;SAOD
VILLA MARIA DEL RIO SECO;CORDOBA;-63.68333;-29.90000;341.0;87244;SACV
CORRIENTES AERO;CORRIENTES;-58.76667;-27.45000;62.0;87166;SARC
ITUZAINGO;CORRIENTES;-56.66667;-27.58333;72.0;87173;SARO
MERCEDES AERO (CTES);CORRIENTES;-58.10000;-29.21667;107.0;87281;SATM
MONTE CASEROS AERO;CORRIENTES;-57.65000;-30.26667;54.0;87393;SARM
PASO DE LOS LIBRES AERO;CORRIENTES;-57.15000;-29.68333;70.0;87289;SARL
CONCORDIA AERO;ENTRE RIOS;-58.01667;-31.30000;38.0;87395;SAAC
GUALEGUAYCHU AERO;ENTRE RIOS;-58.61667;-33.00000;23.0;87497;SAAG
PARANA AERO;ENTRE RIOS;-60.48333;-31.78333;78.0;87374;SAAP
FORMOSA AERO;FORMOSA;-58.23333;-26.20000;60.0;87162;SARF
LAS LOMITAS;FORMOSA;-60.58333;-24.70000;130.0;87078;SATK
JUJUY AERO;JUJUY;-65.08333;-24.38333;905.0;87046;SASJ
JUJUY U N;JUJUY;-65.18333;-24.16667;1302.0;87043;
LA QUIACA OBS.;JUJUY;-65.60000;-22.10000;3459.0;87007;SASQ
GENERAL PICO AERO;LA PAMPA;-63.75000;-35.70000;145.0;87532;SAZG
SANTA ROSA AERO;LA PAMPA;-64.26667;-36.56667;191.0;87623;SAZR
VICTORICA;LA PAMPA;-65.43333;-36.21667;312.0;87616;SAHV
CHAMICAL AERO;LA RIOJA;-66.28333;-30.36667;461.0;87320;SACT
CHEPES;LA RIOJA;-66.60000;-31.33333;658.0;87322;SACP
CHILECITO AERO;LA RIOJA;-67.43333;-29.23333;947.0;87213;SANO
LA RIOJA AERO;LA RIOJA;-66.81667;-29.38333;429.0;87217;SANL
MALARGUE AERO;MENDOZA;-69.58333;-35.50000;1425.0;87506;SAMM
MENDOZA AERO;MENDOZA;-68.78333;-32.83333;704.0;87418;SAME
MENDOZA OBSERVATORIO;MENDOZA;-68.85000;-32.88333;827.0;87420;SAMK
SAN CARLOS (MZA);MENDOZA;-69.03333;-33.76667;940.0;87412;SAMS
SAN MARTIN (MZA);MENDOZA;-68.41667;-33.08333;653.0;87416;SAMI
SAN RAFAEL AERO;MENDOZA;-68.40000;-34.58333;748.0;87509;SAMR
USPALLATA;MENDOZA;-69.33333;-32.60000;1891.0;87405;SAMU
BERNARDO DE IRIGOYEN AERO;MISIONES;-53.65000;-26.25000;815.0;87163;SATI
IGUAZU AERO;MISIONES;-54.46667;-25.73333;270.0;87097;SARI
OBERA AERO;MISIONES;-55.13333;-27.48333;303.0;87187;SATO
POSADAS AERO;MISIONES;-55.96667;-27.36667;125.0;87178;SARP
CHAPELCO AERO;NEUQUEN;-71.13333;-40.08333;779.0;87761;SAZY
NEUQUEN AERO;NEUQUEN;-68.13333;-38.95000;271.0;87715;SAZN
BARILOCHE AERO;RIO NEGRO;-71.16667;-41.15000;840.0;87765;SAZS
CIPOLLETTI;RIO NEGRO;-67.96667;-38.95000;265.0;87719;SAHI
EL BOLSON AERO;RIO NEGRO;-71.51667;-41.96667;337.0;87800;SAVB
MAQUINCHAO;RIO NEGRO;-68.73333;-41.25000;888.0;87774;SAVQ
RIO COLORADO;RIO NEGRO;-64.08333;-39.01667;79.0;87736;SAZQ
SAN ANTONIO OESTE AERO;RIO NEGRO;-65.10000;-40.78333;20.0;87784;SAVN
VIEDMA AERO;RIO NEGRO;-63.01667;-40.85000;7.0;87791;SAVV
METAN;SALTA;-64.80000;-25.48333;855.0;87050;SASM
ORAN AERO;SALTA;-64.31667;-23.15000;357.0;87016;SASO
RIVADAVIA;SALTA;-62.90000;-24.16667;205.0;87065;SASR
SALTA AERO;SALTA;-65.48333;-24.85000;1221.0;87047;SASA
TARTAGAL AERO;SALTA;-63.81667;-22.65000;450.0;87022;SAST
JACHAL;SAN JUAN;-68.75000;-30.23333;1175.0;87305;SAMJ
SAN JUAN AERO;SAN JUAN;-68.41667;-31.56667;598.0;87311;SANU
SAN LUIS AERO;SAN LUIS;-66.35000;-33.26667;713.0;87436;SAOU
SANTA ROSA DE CONLARA AERO;SAN LUIS;-65.18333;-32.38333;620.0;87444;SAOS
VILLA REYNOLDS AERO;SAN LUIS;-65.38333;-33.73333;486.0;87448;SAOR
EL CALAFATE AERO;SANTA CRUZ;-72.05000;-50.26667;204.0;87904;SAWC
GOBERNADOR GREGORES AERO;SANTA CRUZ;-70.16667;-48.78333;358.0;87880;SAWR
PERITO MORENO AERO;SANTA CRUZ;-71.01667;-46.51667;429.0;87852;SAWP
PUERTO DESEADO AERO;SANTA CRUZ;-65.91667;-47.73333;80.0;87896;SAWD
RIO GALLEGOS AERO;SANTA CRUZ;-69.28333;-51.61667;19.0;87925;SAWG
SAN JULIAN AERO;SANTA CRUZ;-67.78333;-49.31667;62.0;87909;SAWJ
SANTA CRUZ AERO;SANTA CRUZ;-68.56667;-50.01667;111.0;87912;SAWU
CERES AERO;SANTA FE;-61.95000;-29.88333;88.0;87257;SANW
EL TREBOL;SANTA FE;-61.66667;-32.20000;96.0;87470;SAFT
RAFAELA AERO;SANTA FE;-61.50000;-31.26667;99.0;87360;SAFR
RECONQUISTA AERO;SANTA FE;-59.70000;-29.18333;53.0;87270;SATR
ROSARIO AERO;SANTA FE;-60.78333;-32.91667;25.0;87480;SAAR
SAUCE VIEJO AERO;SANTA FE;-60.81667;-31.70000;18.0;87371;SAAV
SUNCHALES AERO;SANTA FE;-61.33333;-30.96667;92.0;87356;SAFS
VENADO TUERTO;SANTA FE;-61.96667;-33.66667;112.0;87468;SAFV
SANTIAGO DEL ESTERO AERO;SANTIAGO DEL ESTERO;-64.30000;-27.76667;199.0;87129;SANE
TERMAS DE RIO HONDO AERO;SANTIAGO DEL ESTERO;-64.93333;-27.48333;280.0;87127;SANR
RIO GRANDE B.A.;TIERRA DEL FUEGO;-67.75000;-53.80000;22.0;87934;SAWE
USHUAIA AERO;TIERRA DEL FUEGO;-68.31667;-54.80000;57.0;87938;SAWH
TUCUMAN AERO;TUCUMAN;-65.10000;-26.85000;450.0;87121;SANT
